time,location,ride_requests
00:00,Zone A,46
00:00,Zone B,23
00:00,Zone C,45
00:00,Zone D,27
00:00,Zone E,19
01:00,Zone A,44
01:00,Zone B,6
01:00,Zone C,48
01:00,Zone D,25
01:00,Zone E,21
02:00,Zone A,43
02:00,Zone B,30
02:00,Zone C,38
02:00,Zone D,31
02:00,Zone E,7
03:00,Zone A,35
03:00,Zone B,28
03:00,Zone C,44
03:00,Zone D,12
03:00,Zone E,41
04:00,Zone A,29
04:00,Zone B,18
04:00,Zone C,23
04:00,Zone D,46
04:00,Zone E,32
05:00,Zone A,36
05:00,Zone B,16
05:00,Zone C,5
05:00,Zone D,22
05:00,Zone E,48
06:00,Zone A,6
06:00,Zone B,9
06:00,Zone C,7
06:00,Zone D,35
06:00,Zone E,12
07:00,Zone A,34
07:00,Zone B,17
07:00,Zone C,10
07:00,Zone D,20
07:00,Zone E,41
08:00,Zone A,5
08:00,Zone B,5
08:00,Zone C,42
08:00,Zone D,13
08:00,Zone E,47
09:00,Zone A,14
09:00,Zone B,30
09:00,Zone C,27
09:00,Zone D,13
09:00,Zone E,44
10:00,Zone A,42
10:00,Zone B,30
10:00,Zone C,40
10:00,Zone D,33
10:00,Zone E,33
11:00,Zone A,38
11:00,Zone B,43
11:00,Zone C,8
11:00,Zone D,32
11:00,Zone E,15
12:00,Zone A,15
12:00,Zone B,18
12:00,Zone C,6
12:00,Zone D,23
12:00,Zone E,17
13:00,Zone A,31
13:00,Zone B,42
13:00,Zone C,29
13:00,Zone D,29
13:00,Zone E,33
14:00,Zone A,34
14:00,Zone B,21
14:00,Zone C,13
14:00,Zone D,12
14:00,Zone E,18
15:00,Zone A,29
15:00,Zone B,7
15:00,Zone C,37
15:00,Zone D,26
15:00,Zone E,20
16:00,Zone A,23
16:00,Zone B,36
16:00,Zone C,39
16:00,Zone D,47
16:00,Zone E,13
17:00,Zone A,7
17:00,Zone B,36
17:00,Zone C,9
17:00,Zone D,9
17:00,Zone E,18
18:00,Zone A,7
18:00,Zone B,13
18:00,Zone C,44
18:00,Zone D,13
18:00,Zone E,38
19:00,Zone A,23
19:00,Zone B,24
19:00,Zone C,21
19:00,Zone D,16
19:00,Zone E,5
20:00,Zone A,25
20:00,Zone B,15
20:00,Zone C,22
20:00,Zone D,28
20:00,Zone E,36
21:00,Zone A,37
21:00,Zone B,16
21:00,Zone C,22
21:00,Zone D,24
21:00,Zone E,12
22:00,Zone A,18
22:00,Zone B,39
22:00,Zone C,27
22:00,Zone D,39
22:00,Zone E,18
23:00,Zone A,7
23:00,Zone B,46
23:00,Zone C,20
23:00,Zone D,37
23:00,Zone E,38
